,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.382,5.25,5.75,5.75,5.2,5.23,27719337.0,12.03096,155515561.0,40.076,1.7810000000000001,302400.0,120960.0
1,603998,方盛制药,1.649,4.93,4.9,4.98,4.88,4.85,2926871.0,0.6883600000000001,14438896.0,35.214,2.061,211281.42096,209621.98296
2,603997,继峰股份,-0.952,8.32,8.47,8.47,8.14,8.4,6374100.0,1.01176,52647987.0,18.087,3.119,530582.3744,524160.0
3,603996,中新科技,1.194,7.63,7.62,7.74,7.47,7.54,5370292.0,5.19999,40886476.0,15.571,1.52,229014.45,78798.825
4,603993,洛阳钼业,1.053,3.84,3.87,3.95,3.81,3.8,142952041.0,0.8092,554222369.0,27.429,2.097,8294108.383872,6783656.671872
5,603991,至正股份,0.647,17.12,17.39,17.62,17.08,17.01,757900.0,1.8449900000000001,13123805.0,31.704,2.68,127603.916576,70327.107616
6,603990,麦迪科技,-0.668,29.76,30.0,30.11,29.61,29.96,73100.0,0.12128000000000001,2177412.0,46.5,5.555,239969.25408,179369.472
7,603989,艾华集团,-0.321,21.71,22.27,22.33,21.51,21.78,279020.0,0.07154,6048822.0,22.381,4.91,846693.595176,846693.595176
8,603988,中电电机,-0.434,9.17,9.47,9.47,9.11,9.21,2883623.0,1.22603,26689104.0,32.75,3.255,215678.4,215678.4
9,603987,康德莱,1.087,5.58,5.52,5.65,5.51,5.52,1680119.0,0.63139,9351817.0,14.684,1.412,246417.822,148483.81674
10,603986,兆易创新,0.0,68.94,0.0,0.0,0.0,68.94,0.0,0.0,0.0,34.643,10.671,1962339.100272,1429796.152026
11,603985,恒润股份,2.511,17.96,17.8,18.09,17.71,17.52,898600.0,1.35006,16080820.0,14.192,1.8050000000000002,186784.0,119541.76
12,603980,吉华集团,0.893,11.3,11.29,11.44,11.25,11.2,2073486.0,0.8441400000000001,23477251.0,12.797,1.316,565000.0,277565.38944
13,603979,金诚信,-0.388,7.71,7.8,7.98,7.55,7.74,3550899.0,0.60699,27326970.0,22.029,1.123,451035.0,451035.0
14,603978,深圳新星,-2.137,23.35,24.12,24.28,23.08,23.86,4526265.0,6.20583,106606519.0,14.873,2.787,373600.0,170304.8128
15,603977,国泰集团,1.499,6.77,6.69,6.81,6.68,6.67,860780.0,0.48921000000000003,5813379.0,21.839,2.181,264865.40446,119119.504
16,603976,正川股份,1.426,12.8,12.69,12.88,12.69,12.62,603700.0,1.57624,7725704.0,14.066,2.035,193536.0,49023.92064
17,603970,中农立华,0.842,14.37,14.4,14.59,14.26,14.25,1357240.0,3.39309,19541761.0,16.35,2.769,229920.11496,57480.11496
18,603969,银龙股份,0.481,4.18,4.19,4.27,4.12,4.16,3802317.0,0.45212,15906021.0,13.933,1.5,351538.0,351538.0
19,603968,醋化股份,1.634,12.44,12.42,12.58,12.36,12.24,1944800.0,0.9511000000000001,24259617.0,15.747,1.819,254373.12,254373.12
20,603966,法兰泰克,-0.128,7.78,7.98,7.98,7.73,7.79,641180.0,0.68952,5025637.0,18.976,1.8679999999999999,164192.6988,72345.522912
21,603963,大理药业,2.981,12.78,12.59,12.8,12.36,12.41,1159383.0,1.51801,14721482.0,23.236,2.813,166140.0,97607.25
22,603960,克来机电,-1.378,25.77,26.4,26.4,25.51,26.13,482852.0,0.932,12526591.0,50.529,7.476,348410.4,133510.318956
23,603959,百利科技,1.415,12.9,12.78,13.39,12.22,12.72,1820061.0,1.22185,23000128.0,26.875,3.9130000000000003,404544.0,192158.4
24,603958,哈森股份,0.488,8.24,8.13,8.29,8.13,8.2,519400.0,0.78698,4274003.0,98.565,1.669,181203.0796,54383.172704
25,603955,大千生态,-1.071,14.78,14.85,15.17,14.65,14.94,665524.0,0.93315,9885912.0,15.388,1.532,167161.8,105411.274814
26,603939,益丰药房,-3.098,45.04,47.3,47.44,44.5,46.48,2176005.0,0.59996,99192151.0,52.13,4.977,1633576.739632,1633576.739632
27,603938,三孚股份,-0.511,19.46,19.63,19.89,19.1,19.56,1725553.0,3.39765,33636188.0,17.853,2.858,292224.2036,98830.7236
28,603937,丽岛新材,0.609,11.57,11.62,11.97,11.56,11.5,2340600.0,4.48219,27449474.0,19.948,1.925,241674.16,60418.54
29,603936,博敏电子,0.962,14.7,14.74,14.94,14.58,14.56,1197189.0,2.13403,17649849.0,37.692,1.5,316722.69111,82467.0
30,603933,睿能科技,-1.46,16.2,16.52,16.61,16.01,16.44,1076540.0,2.99555,17525164.0,10.298,2.235,232855.56,58219.56
31,603929,亚翔集成,1.394,16.0,16.1,16.58,15.93,15.78,2941808.0,3.04661,47859137.0,26.667,3.163,341376.0,154496.0
32,603928,兴业股份,2.998,12.71,12.43,12.83,12.38,12.34,1673903.0,2.6666600000000003,21059080.0,18.97,2.186,256233.6,79782.5765
33,603926,铁流股份,2.203,13.92,13.73,13.93,13.65,13.62,757300.0,1.16342,10461999.0,13.647,1.5979999999999999,172287.84,90608.790624
34,603922,金鸿顺,1.487,15.7,15.59,16.2,15.52,15.47,1382145.0,4.3192,21902023.0,18.046,1.794,200960.0,50240.0
35,603920,世运电路,1.099,11.96,11.9,12.12,11.86,11.83,1606300.0,1.2528700000000002,19247387.0,24.408,1.972,480552.8,153339.181528
36,603919,金徽酒,0.0,13.9,13.9,14.04,13.79,13.9,405267.0,0.34986,5627724.0,20.145,2.662,505960.0,161015.4455
37,603918,金桥信息,4.255,12.74,12.43,12.79,12.38,12.22,1263912.0,0.71599,15966185.0,63.7,4.357,228581.08,224894.124
38,603917,合力科技,1.109,13.68,13.98,14.48,13.64,13.53,5365131.0,13.68656,75093256.0,14.444,2.496,214502.4,53625.6
39,603916,苏博特,0.086,11.62,11.81,11.82,11.6,11.61,1872300.0,2.46355,21875412.0,20.386,1.766,359418.22,88312.0
40,603912,佳力图,2.663,11.18,11.02,11.6,10.9,10.89,2699095.0,5.21061,30210685.0,15.971,3.517,235249.56,57912.4
41,603909,合诚股份,-0.222,26.94,25.63,26.94,25.19,27.0,680100.0,2.7204,17664140.0,43.291,4.167,276135.0,67350.0
42,603908,牧高笛,3.465,21.8,21.31,21.86,21.18,21.07,392800.0,1.70417,8471433.0,27.25,3.225,145384.2,50247.4849
43,603906,龙蟠科技,0.362,8.32,8.36,8.44,8.27,8.29,908940.0,0.9739500000000001,7586827.0,18.909,1.682,211381.248,77646.76608
44,603903,中持股份,-2.689,19.9,20.2,20.23,19.8,20.45,1263700.0,1.7123400000000002,25259362.0,30.615,2.6470000000000002,205638.64,146861.35524
